Слово,Транскрипция,Перевод
阿姨,āyí,"тётя, тётка; (при обращении) тётя; няня (в детском саду)"
啊,a,фразовая частица восклицательных и побудительных предложений; не переводится
矮,ǎi,"низкорослый, низкий"
爱,ài,любить; любовь; любимый
爱好,àihào,"любить, иметь склонность [влечение] к чему-либо, хобби"
安静,ānjìng,покойный; тихий; тишина; покой
八,bā,восемь; восьмой
把,bǎ,"держать в руках; взять(ся); сл. слово, используемое для инверсии дополнения"
爸爸,bàba,"папа, тятя"
吧,ba,выражает побуждение или предположение
白,bái,белый; седой
百,bǎi,сто; сотня
班,bān,группа; класс
搬,bān,передвигать; переносить; перетаскивать
半,bàn,половина; полу-; пол-
办法,bànfǎ,"способ, метод"
办公室,bàngōngshì,кабинет; офис
帮忙,bāngmáng,помогать; оказывать услугу
帮助,bāngzhù,помогать; помощь
包,bāo,"завёртывать, обёртывать; упаковывать; перевязывать (напр., рану)"
饱,bǎo,насытиться; досыта
报纸,bàozhǐ,газета; газеты
杯子,bēizi,стакан; кружка; бокал; рюмка
北方,běifāng,север; северный
北京,běijīng,Пекин
被,bèi,сл. слово для выражения пассива
本,běn,"счётное слово для растений, цветов"
鼻子,bízi,нос
比,bǐ,сравнивать; в сравнении
比较,bǐjiào,сравнительно
比赛,bǐsài,"соревнования, состязания; турнир"
必须,bìxū,"необходимо, должно"
变化,biànhuà,"изменение, перемена; сдвиг; перемены"
表示,biǎoshì,выражать; высказывать; заявлять
表演,biǎoyǎn,исполнять; играть (на сцене)
别,bié,"расставаться, разлучатьсяне нужно; нечего; не"
别人,biéren,"другие; посторонние, чужие"
宾馆,bīnguǎn,гостиница
冰箱,bīngxīang,холодильник
不客气,bùkěqi,не церемоньтесь!; не стесняйтесь!
不,bù,отрицательная частица не
才,cái,"только, только что; только тогда; только в этом случае"
菜,cài,овощи; блюдо; пища; стол
菜单,càidān,меню
参加,cānjiā,участвовать; принимать участие
草,cǎo,трава; солома; сено
层,céng,"слой, прослойка; ярус; этаж"
茶,chá,чай
差,chā,разница; отличие; отличаться от; разность
长,cháng,"длинный; длительный, долгий"
长,zhǎng,расти; вырасти; старший (по возрасту); начальник
唱歌,chànggē,петь; пение
超市,chāoshì,супермаркет
衬衫,chènshān,сорочка
成绩,chéngjī,успехи; достижения
城市,chéngshì,город; городской
吃,chī,"есть, кушать"
迟到,chídào,опоздать
出,chū,выходить; выезжать; превышать
出现,chūxiàn,появиться; возникнуть
出租车,chūzūchē,такси
